,0,1
0,Коми Республикаса Юралысь нуӧдӧ Веськыд йитӧд ,Глава Республики Коми Владимир Уйба проводит Прямую линию 
1,Владимир Уйба сетіс Коми Республикаса школаяслы 30 выль автобус ,Владимир Уйба передал 30 новых автобусов школам Республики Коми 
2,16 ПАЗ автобус да 14 ГАЗ автобус воисны регионӧ федеральнӧй уджтас серти.,16 автобусов марки ПАЗ и 14 автобусов марки ГАЗ поступили в регион по федеральной программе.
3,Сійӧс збыльмӧдӧны Россия Федерацияса Президент Владимир Путинлӧн тшӧктӧм серти.,Реализуемой по поручению Президента Российской Федерации Владимира Путина.
4,"Вӧльгым тӧлысь 29 лунӧ вӧлі кыпыд церемония, кӧні автомашинаяссӧ сетісны Коми Республикаын карса да сиктса школаяслы.",Торжественная церемония передачи автомобилей городским и сельским школам Республики Коми состоялась 29 ноября.
5,Выль техникаыс сетас позянлун таво нин республикаын дугдыны вӧдитчыны 10 воысь важджык школьнӧй автобусъясӧн да киссьӧм автобусъясӧн.,Поставка новой техники позволит уже в этом году в республике вывести из эксплуатации все школьные автобусы старше 10 лет и автобусы с высокой степенью износа.
6,Колян во республиканскӧй да федеральнӧй сьӧм вылӧ выльмӧдӧма 76 единица школьнӧй транспорт.,В прошлом году за счёт республиканских и федеральных средств обновлено 76 единиц школьного транспорта.
7,"«Ми и водзӧ кутам выльмӧдны школьнӧй автопарк, медым ас кадӧ вежны важмӧм да жугалӧм транспортсӧ, медым видзны школьникъясӧс туй вылын лёк суӧмысь да медым налы лӧсьыд вӧлі ветлыны.","«Мы и дальше будем работать над обновлением школьного автопарка, чтобы своевременно заменять устаревший и неисправный транспорт, чтобы обеспечить нашим школьником безопасность и комфорт во время перевозок."
8,"Но эм и мӧд мог, кутшӧмӧс республикаса Веськӧдлан котырлы колӧ разьны матысса кадӧ – тайӧ лӧсьӧдны нормаяс серти туйяссӧ, кыті челядьӧс новлӧдлӧны школаӧ.","Но есть ещё и вторая задача, которую предстоит решить Правительству республики в самое ближайшее время – это приведение в нормативное состояние дорог, по которым пролегают школьные маршруты."
9,Сьӧмсӧ та вылӧ вичмӧдасны Республикаса туй фондысь.,На это будут направлены средства Дорожного фонда республики.
10,"Ми быд боксянь видзам челядьнымӧс лёк суӧмысь», - юӧртіс Коми Республикаса Юралысь Владимир Уйба.","То есть к обеспечению безопасности наших детей мы подходим комплексно», - заявил глава Коми Владимир Уйба."
11,*** Коми Республикаса муниципальнӧй юкӧнъяслы школьнӧй автобусъяс юклӧм:,*** Распределение школьных автобусов по муниципальным образованиям Республики Коми:
12,«Сыктывкар» КК МЮ – 1 ед.;,МО ГО «Сыктывкар» – 1 ед.;
13,«Ухта» КК МЮ – 2 ед.;,МО ГО «Ухта» – 2 ед.;
14,«Изьва» МР МЮ – 1 ед.;,МО МР «Ижемский» – 1 ед.;
15,«Княжпогост» МР МЮ – 1 ед.;,МО МР «Княжпогостский» – 1 ед.;
16,«Койгорт» МР МЮ – 1 ед.;,МО МР «Койгородский» – 1 ед.;
17,«Луздор» МР МЮ – 4 ед.;,МО МР «Прилузский» – 4 ед.;
18,«Сыктывдін» МР МЮ – 3 ед.;,МО МР «Сыктывдинский» – 3 ед.;
19,«Сыктыв» МР МЮ – 4 ед.;,МО МР «Сысольский» – 4 ед.;
20,«Емдін» МР МЮ – 4 ед.;,МО МР «Усть-Вымский» – 4 ед.;
21,«Кулӧмдін» МР МЮ – 6 ед.,МО МР «Усть-Куломский» – 6 ед.
22,(сы лыдын 1 – Кулӧмдін сиктса 2 №-а торъя (коррекционнӧй) школа-интернатлы);,(в т.ч. 1 для ГОУ РК СКОШИ № 2 с. Усть-Кулом);
23,«Чилимдін» МР МЮ – 3 ед.,МО МР «Усть-Цилемский» – 3 ед.
24,Коми Республика примитас Том войтырлысь медводдза Арктикаса Дельфийскӧй ворсӧмъяс ,Республика Коми примет Первые молодёжные Арктические Дельфийские игры 
25,Найӧ прӧйдитасны 2022 вося вӧльгым тӧлысьӧ Сыктывкарын да Воркутаын.,Они пройдут в Сыктывкаре и Воркуте в ноябре 2022 года.
26,Мероприятие котыртан да нуӧдан юалӧмъяс йылысь сёрнитісны вӧльгым тӧлысь 29 лунӧ котыртан комитетлӧн заседание дырйи.,Вопросы организации и проведения мероприятия обсудили 29 ноября на заседании оргкомитета.
27,Сыӧн юрнуӧдісны Коми Республикаса Юралысь Владимир Уйба да Войтыркостса Дельфийскӧй комитетлӧн директор Владимир Понявин.,Его возглавили Глава Республики Коми Владимир Уйба и директор Международного Дельфийского комитета Владимир Понявин.
28,«Ми зіля дасьтысям миян республикалы да страналы зэв тӧдчана мероприятие кежлӧ.,«Мы приступаем к активной фазе подготовки к этому очень значимому мероприятию для нашей республики и страны в целом.
29,"Арктикаса ворсӧмъяслы сетӧма войтыркостса тшупӧд, тайӧ содтӧд кывкутӧм.","Арктические игры имеют статус международных, что накладывает на нас дополнительную ответственность."
30,"Виччысям, мый кутасны участвуйтны арктикаса став страна да Россияысь регион.",Ожидается участие представителей всех арктических стран и регионов России.
31,"«Аттьӧалам Тіянӧс, Владимир Викторович, Коми Республикаын Том войтырлысь медводдза Арктикаса Дельфийскӧй ворсӧмъяс нуӧдны кӧсйысьӧмысь.","«Мы благодарим Вас, Владимир Викторович, за решение провести Первые молодёжные Арктические Дельфийские игры в Республике Коми."
32,"Эска, мый регионса олысьяслы тайӧ лоӧ тӧдчана лоӧмторйӧн да гажӧн.","Уверен, это будет большое событие и праздник для жителей региона."
33,"Сійӧс отсалас нуӧдны войтыркостса Дельфийскӧй комитет, а сійӧс нуӧдӧм бӧрся видзӧдас ЮНЕСКО-лӧн делӧяс серти Россия Федерацияса Комиссия.",Которое пройдёт под патронатом Международного Дельфийского комитета и под эгидой Комиссии Российской Федерации по делам ЮНЕСКО.
34,Лӧсьӧдасны дас номинация да арлыд серти кык группа.,Будет определено десять номинаций и две возрастные группы.
35,"Ордйысьӧмъяссӧ нуӧдасны кык турӧн», – юӧртіс Владимир Понявин.","Соревнования пройдут в два тура», - рассказал Владимир Понявин."
36,Артмӧдасны россияса 2 сборнӧй.,Планируется сформировать 2 российские сборные.
37,Ӧтиас лоӧны сӧмын Коми Республикаысь участвуйтысьяс.,Одна из них будет полностью представлена участниками из Республики Коми.
38,"Владимира Уйбалӧн вӧзйӧм серти, Том войтырлӧн медводдза Арктикаса Дельфийскӧй ворсӧмъяслӧн аслыспӧлӧслунӧн лоӧны этническӧй дисциплинаяс, сідзжӧ участвуйтысьясӧс тӧдмӧдасны коми войтырлӧн традицияясӧн да культураӧн.","По предложению Владимира Уйба, особенностью Первых молодёжных Арктических Дельфийских игр станут этнические дисциплины, также участников познакомят с традициями и культурой коми народа."
