,0,1,2,3
0,Коми язык,Русский язык,,
1,Ухтаын кӧсйӧны заводитны вӧчны вылыс качествоа кориз ,В Ухте планируется создать производство высококачественной извести ,,
2,Коми Республикаса Юралысьлысь могъяс недыр кадколастӧ збыльмӧдысь Владимир Уйба удж серти аддзысьліс «Стрӧитчан материалъяс вӧчан Ухтаса завод» ичӧт кывкутана котырса веськӧдлысьяскӧд.,Врио Главы Республики Коми Владимир Уйба провёл рабочую встречу с руководством ООО «Ухтинский завод строительных материалов».,,
3,Компания пӧртӧ олӧмӧ войтыркостса корӧмъяслы лӧсялана ИФ-0 качествоа кориз вӧчӧм серти инвестиция проект.,"Компания реализует инвестиционный проект по организации выпуска извести качества ИФ-0, соответствующей высоким международным требованиям.",,
4,"Аддзысьлігӧн сёрнитісны проект олӧмӧ пӧртӧм йылысь да сы йылысь, кыдзи Коми Республикаса Веськӧдлан котыр вермас отсавны инвесторлы.","На встрече рассмотрены вопросы реализации проекта и поддержки, которую может оказать инвестору Правительство Республики Коми.",,
5,Коризсӧ кутасны вӧчны Бельгопса куйлӧдын.,Инвестпроект по созданию производства высококачественной извести реализуется на базе Бельгопского месторождения.,,
6,Тайӧ Тиманса коризлӧн ыджыд да туялӧм куйлӧд.,Это наиболее крупное и изученное на Тимане месторождение известняков.,,
7,Артмӧма сійӧ 380 млн гӧгӧр во сайын сёр девонлӧн сирачойскӧй свитаын.,"Относящихся к сирачойской свите позднего девона, сформировавшихся около 380 млн лет назад.",,
8,Корсьысьӧмъясыс заводитчисны 1937 воӧ.,Его разведка началась в 1937 году.,,
9,"Карбонатнӧй породаясысь 1963 восянь перйисны бут, посньӧдлӧм из да кориз пызь.","Карбонатные породы разрабатывались с 1963 года как бут, щебень и известняковая мука.",,
10,"Бельгопса куйлӧдӧ пырӧ нёль кориз участок – Бельгоп-1, Бельгоп-2, Бельгоп-3, Бельгоп-4.","В состав Бельгопского месторождения входят четыре участка известняков – Бельгоп-1, Бельгоп-2, Бельгоп-3, Бельгоп-4.",,
