,0,1
0,Коми язык,Русский язык
1,Владимир Уйба воліс Челядьлы республиканскӧй клиническӧй больничаӧ ,Владимир Уйба посетил Республиканскую детскую клиническую больницу 
2,"Коми Республикаса Юралысь сёрнитіс юралысь врач Игорь Кустышевкӧд челядьлы онкологическӧй отсӧг сетӧмсӧ сӧвмӧдӧм да бурмӧдӧм йылысь, тӧдмасис отделениелӧн уджӧн, сёрнитіс врачьяскӧд да П. Сорокин нима Сыктывкарса канму университетлӧн медицина институтса лечебнӧй отделениеын велӧдчысь студентъяскӧд, кодъяс прӧйдитӧны больничаын педиатрия курс.","Глава Республики Коми обсудил с главным врачом Игорем Кустышевым вопросы развития и улучшения оказания онкологической помощи детям, ознакомился с работой отделений, пообщался с врачами и студентами лечебного отделения Медицинского института Сыктывкарского университета имени П. Сорокина, которые проходят курс педиатрии на базе больницы."
3,Владимир Уйба аддзысьліс онкогематология отделениеса врачьяскӧд.,Владимир Уйба встретился с врачами отделения онкогематологии.
4,Отделение артмӧдӧмсянь таво тырис 10 во.,Которому этом году исполнилось 10 лет со дня образования.
5,"Республикаса Юралысь чолӧмаліс отделениеса котырӧс тшупӧда пасӧн, аттьӧаліс бур уджысь, сьӧкыда висьысь челядь понда сьӧлӧмсянь тӧждысьӧмысь да терпенньӧысь.","Глава республики поздравил коллектив отделения с юбилейной датой, поблагодарил за самоотверженный труд, внимательное и терпеливое отношение к тяжелейшей категории больных детей."
6,"Студентъяскӧд аддзысьлігӧн республикаса Юралысь сиис аскиа врачьяслы ыджыд вермӧмъяс велӧдчӧмын, корис диплом босьтӧм бӧрын локны чужан кар-районъясӧ да уджавны республикаса больничаясын, кӧні эм медицина кадръясын коланлун.","На встрече со студентами глава республики пожелал будущим врачами успехов в обучении и призвал после получения диплома об образовании возвращаться в родные города и районы, работать в больницах республики, где сегодня есть потребность в медицинских кадрах."
7,"Коми Республикаса Юралысь сёрнитіс Коми Республикаса йӧзлысь дзоньвидзалун видзан министрлысь могъяс олӧмӧ пӧртысь Борис Александровкӧд да Челядьлы республиканскӧй клиническӧй больничаса юралысь врач Игорь Кустышевкӧд выль корпус стрӧитӧм йылысь, медым восьтыны паллиативнӧй отсӧг сетан отделение, бурмӧдны онкогематологическӧй да психоневрологическӧй висьӧмъясӧн висьысь челядьлы отсӧг сетӧмсӧ.","Глава Республики Коми обсудил с и.о. министра здравоохранения Республики Коми Борисом Александровым и главным врачом Республиканской детской клинической больницы Игорем Кустышевым строительство нового корпуса, что позволит открыть отделение паллиативной помощи, улучшить оказание медицинской помощи детям с онкогематологической и психоневрологической патологией."
8,Ӧні проектируйтӧны объектсӧ.,Сейчас ведётся проектирование объекта.
9,Та кындзи колӧ выльмӧдны вылыс технологияа диагностическӧй да реанимационнӧй оборудование.,"Кроме того, требуется обновить высокотехнологичное диагностическое и реанимационное оборудование."
